lat,lon
,
39.6136177,-74.3610585
39.6134252,-74.3618807
39.6131586,-34.7470293
39.6132963,-74.3620629
39.6135007,-74.3620718
39.6135052,-74.3614497
39.6137051,-74.3620451
39.6134741,-34.7492775
39.6132119,-74.3622895
39.613052,-74.361783
39.6131142,-74.3604989
